,400001,400001.1,0.0
0,400017,400017,0.0
1,400030,400030,0.0
2,400030,400045,5108.4
3,400030,400065,7401.1
4,400030,400088,10961.1
5,400030,400100,8360.4
6,400030,400122,5430.2
7,400030,400253,2475.9
8,400030,400258,8261.5
9,400030,400298,8600.0
10,400030,400414,8998.5
11,400030,400508,1744.0
12,400030,400664,9574.0
13,400030,400709,2732.5
14,400030,400714,6860.5
15,400030,400723,3844.4
16,400030,400964,6059.5
17,400030,401167,8459.3
18,400030,401391,9797.7
19,400030,401400,6763.8
20,400030,401440,321.9
21,400030,401541,5885.6
22,400030,401560,5077.4
23,400030,401611,5683.8
24,400030,401809,9190.1
25,400030,401816,7111.7
26,400030,401817,7124.6
27,400030,402056,6328.5
28,400030,402057,5478.2
29,400030,402281,7497.6
30,400030,402283,8301.3
31,400030,402285,9104.9
32,400030,402286,9911.0
33,400030,402288,11441.0
34,400030,403225,1429.5
35,400030,403265,1477.7
36,400030,403401,8882.0
37,400030,404370,9119.2
38,400030,404759,6731.6
39,400030,405701,8572.4
40,400030,407710,9842.0
41,400030,408911,4989.7
42,400030,414694,7555.7
43,400040,400040,0.0
44,400040,400236,3805.2
45,400040,400563,3819.7
46,400040,400654,295.9
47,400040,400837,1043.6
48,400040,400916,3238.2
49,400040,400995,2363.8
50,400040,401816,9884.8
51,400040,401817,9897.7
52,400040,402059,5270.6
53,400040,404453,1795.6
54,400040,404461,1782.6
55,400040,409524,6781.7
56,400040,409525,8598.4
57,400040,409526,9194.2
58,400040,409528,8585.5
59,400040,409529,9181.5
60,400045,400030,2525.0
61,400045,400045,0.0
62,400045,400065,7661.0
63,400045,400088,5853.5
64,400045,400122,322.6
65,400045,400158,10251.9
66,400045,400246,10514.7
67,400045,400253,5000.7
68,400045,400258,8521.4
69,400045,400449,11936.8
70,400045,400508,4268.7
71,400045,400664,9833.8
72,400045,400709,5257.2
73,400045,400714,9385.2
74,400045,400723,6369.2
75,400045,400964,8035.0
76,400045,400971,9713.8
77,400045,401014,10475.2
78,400045,401167,9936.0
79,400045,401391,7813.3
80,400045,401400,9288.6
81,400045,401403,9013.9
82,400045,401440,2846.7
83,400045,401464,6979.0
84,400045,401489,7284.8
85,400045,401541,778.0
86,400045,401560,7602.1
87,400045,401611,8208.6
88,400045,401655,9496.4
89,400045,401808,9625.5
90,400045,401809,7205.6
91,400045,401816,5131.4
92,400045,401817,5144.3
93,400045,401994,10176.3
94,400045,402056,6588.4
95,400045,402057,5738.1
96,400045,402058,9597.6
97,400045,402117,8712.0
98,400045,402118,8698.8
99,400045,402121,8400.5
100,400045,402281,2390.0
101,400045,402282,7925.6
102,400045,402283,3193.7
103,400045,402284,7127.3
104,400045,402285,3997.2
105,400045,402286,4803.4
106,400045,402288,6333.4
107,400045,402366,11175.5
108,400045,403225,3954.2
109,400045,403265,4002.4
110,400045,404759,1711.8
111,400045,405701,10049.0
112,400045,407165,8884.0
113,400045,407172,8516.3
114,400045,407173,8561.9
115,400045,408911,7514.4
116,400045,413026,6563.8
117,400045,414694,9032.3
118,400052,400052,0.0
119,400052,400148,3376.4
120,400052,400336,4774.7
121,400052,400461,327.1
122,400052,400464,7907.4
123,400052,400485,6677.4
124,400052,400688,8358.9
125,400052,400713,5304.8
126,400052,400750,2964.1
127,400052,400822,7250.4
128,400052,404434,9819.8
129,400057,400030,6854.3
130,400057,400045,4330.0
131,400057,400057,0.0
132,400057,400065,7027.2
133,400057,400088,10182.7
134,400057,400100,7949.3
135,400057,400122,4651.8
136,400057,400147,1143.5
137,400057,400253,9329.9
138,400057,400258,7887.7
139,400057,400298,8188.9
